"AUXRR129.Code.or.Value","AUXRR129.Value.Description","AUXRR129.Count","AUXRR129.Cumulative","AUXRR129.Skip.to.Item"
"-69 to 72","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
