"DX2LALI.Code.or.Value","DX2LALI.Value.Description","DX2LALI.Count","DX2LALI.Cumulative","DX2LALI.Skip.to.Item"
"1228.5 to 6388.7","Range of Values",464,464,NA
".","Missing",21,485,NA
