"DR1TMFAT.Code.or.Value","DR1TMFAT.Value.Description","DR1TMFAT.Count","DR1TMFAT.Cumulative","DR1TMFAT.Skip.to.Item"
"0 to 143.742","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
