"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.0354 to 255","Range of Values",2243,2243,NA
".","Missing",106,2349,NA
