"URDTNE2.Code.or.Value","URDTNE2.Value.Description","URDTNE2.Count","URDTNE2.Cumulative","URDTNE2.Skip.to.Item"
"0.0002 to 370.5","Range of Values",2971,2971,NA
".","Missing",308,3279,NA
