"VIXKLM2.Code.or.Value","VIXKLM2.Value.Description","VIXKLM2.Count","VIXKLM2.Cumulative","VIXKLM2.Skip.to.Item"
"5.1 to 9.42","Range of Values",6346,6346,NA
"88","Could not obtain",54,6400,NA
".","Missing",358,6758,NA
