"OSQ040bc.Code.or.Value","OSQ040bc.Value.Description","OSQ040bc.Count","OSQ040bc.Cumulative","OSQ040bc.Skip.to.Item"
"1","Under 50 years old, or",19,19,"OSQ025"
"2","50 years old or older?",1,20,""
"7","Refused",0,20,"OSQ025"
"9","Don't know",0,20,"OSQ025"
".","Missing",4959,4979,""
