"AUQ130.Code.or.Value","AUQ130.Value.Description","AUQ130.Count","AUQ130.Cumulative","AUQ130.Skip.to.Item"
"1","Good",8655,8655,NA
"2","Little trouble",1452,10107,NA
"3","Lot of trouble",321,10428,NA
"4","Deaf",29,10457,NA
"7","Refused",2,10459,NA
"9","Don't know",6,10465,NA
".","Missing",5,10470,NA
