"DS2TFDFE.Code.or.Value","DS2TFDFE.Value.Description","DS2TFDFE.Count","DS2TFDFE.Cumulative","DS2TFDFE.Skip.to.Item"
"0 to 8500","Range of Values",1787,1787,NA
".","Missing",7975,9762,NA
