"DMDCITZN.Code.or.Value","DMDCITZN.Value.Description","DMDCITZN.Count","DMDCITZN.Cumulative","DMDCITZN.Skip.to.Item"
"1","Citizen by birth or naturalization",9181,9181,NA
"2","Not a citizen of the US",937,10118,NA
"7","Refused",4,10122,NA
"9","Don't know",0,10122,NA
".","Missing",0,10122,NA
