"DR1TS120.Code.or.Value","DR1TS120.Value.Description","DR1TS120.Count","DR1TS120.Cumulative","DR1TS120.Skip.to.Item"
"0 to 47.366","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
