"AUDTYR72.Code.or.Value","AUDTYR72.Value.Description","AUDTYR72.Count","AUDTYR72.Cumulative","AUDTYR72.Skip.to.Item"
"0 to 1.47","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
