"RFXC115.Code.or.Value","RFXC115.Value.Description","RFXC115.Count","RFXC115.Cumulative","RFXC115.Skip.to.Item"
"-5.607 to 5.581","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
