"DXXIPX.Code.or.Value","DXXIPX.Value.Description","DXXIPX.Count","DXXIPX.Cumulative","DXXIPX.Skip.to.Item"
"298 to 938.4","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
