"URXTRS.Code.or.Value","URXTRS.Value.Description","URXTRS.Count","URXTRS.Cumulative","URXTRS.Skip.to.Item"
"1.63 to 3830","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
