"LBXCD4.Code.or.Value","LBXCD4.Value.Description","LBXCD4.Count","LBXCD4.Cumulative","LBXCD4.Skip.to.Item"
"6 to 1176","Range of Values",24,24,NA
".","Missing",3275,3299,NA
