"DS2TVB1.Code.or.Value","DS2TVB1.Value.Description","DS2TVB1.Count","DS2TVB1.Cumulative","DS2TVB1.Skip.to.Item"
"0 to 250","Range of Values",1672,1672,NA
".","Missing",8090,9762,NA
