"CBQ698g.Code.or.Value","CBQ698g.Value.Description","CBQ698g.Count","CBQ698g.Cumulative","CBQ698g.Skip.to.Item"
"7","I don't think the food labels are important to me",76,76,NA
".","Missing",6323,6399,NA
