"DXXWDBMD.Code.or.Value","DXXWDBMD.Value.Description","DXXWDBMD.Count","DXXWDBMD.Cumulative","DXXWDBMD.Skip.to.Item"
"0.11 to 1.786","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
