"PAD080.Code.or.Value","PAD080.Value.Description","PAD080.Count","PAD080.Cumulative","PAD080.Skip.to.Item"
"1 to 600","Range of Values",2310,2310,NA
"77777","Refused",0,2310,NA
"99999","Don't know",0,2310,NA
".","Missing",6968,9278,NA
