"AUQ260.Code.or.Value","AUQ260.Value.Description","AUQ260.Count","AUQ260.Cumulative","AUQ260.Skip.to.Item"
"1","Yes",23,23,NA
"2","No",63,86,NA
"7","Refused",0,86,NA
"9","Don't know",2,88,NA
".","Missing",9578,9666,NA
