"SMQ120.Code.or.Value","SMQ120.Value.Description","SMQ120.Count","SMQ120.Cumulative","SMQ120.Skip.to.Item"
"1","Yes",458,458,""
"2","No",4941,5399,"SMQ150"
"7","Refused",4,5403,"SMQ150"
"9","Don't know",4,5407,"SMQ150"
".","Missing",4,5411,""
