"URDATCLC.Code.or.Value","URDATCLC.Value.Description","URDATCLC.Count","URDATCLC.Cumulative","URDATCLC.Skip.to.Item"
"0","At or above the detection limit",2938,2938,NA
"1","Below lower detection limit",77,3015,NA
".","Missing",264,3279,NA
