"URDUDALC.Code.or.Value","URDUDALC.Value.Description","URDUDALC.Count","URDUDALC.Cumulative","URDUDALC.Skip.to.Item"
"0","At or above the detection limit",1866,1866,NA
"1","Below lower detection limit",655,2521,NA
".","Missing",84,2605,NA
