"AUXLR103.Code.or.Value","AUXLR103.Value.Description","AUXLR103.Count","AUXLR103.Cumulative","AUXLR103.Skip.to.Item"
"-61 to 49","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
