"DRD370TQ.Code.or.Value","DRD370TQ.Value.Description","DRD370TQ.Count","DRD370TQ.Cumulative","DRD370TQ.Skip.to.Item"
"1 to 31","Range of Values",1333,1333,NA
".","Missing",8211,9544,NA
