"LBDBCOSI.Code.or.Value","LBDBCOSI.Value.Description","LBDBCOSI.Count","LBDBCOSI.Cumulative","LBDBCOSI.Skip.to.Item"
"0.68 to 301.9","Range of Values",3520,3520,NA
".","Missing",156,3676,NA
