"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.051 to 0.449","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
