"DMDHRGND.Code.or.Value","DMDHRGND.Value.Description","DMDHRGND.Count","DMDHRGND.Cumulative","DMDHRGND.Skip.to.Item"
"1","Male",5576,5576,NA
"2","Female",4772,10348,NA
".","Missing",0,10348,NA
