"DR1IM161.Code.or.Value","DR1IM161.Value.Description","DR1IM161.Count","DR1IM161.Cumulative","DR1IM161.Skip.to.Item"
"0 to 11.368","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
