"SSTOXG.Code.or.Value","SSTOXG.Value.Description","SSTOXG.Count","SSTOXG.Cumulative","SSTOXG.Skip.to.Item"
"0 to 234","Range of Values",6097,6097,NA
".","Missing",2,6099,NA
