"DRD370Q.Code.or.Value","DRD370Q.Value.Description","DRD370Q.Count","DRD370Q.Cumulative","DRD370Q.Skip.to.Item"
"1","Yes",79,79,""
"2","No",5001,5080,"DRD370R"
".","Missing",4202,9282,""
