"SPXNFEV1.Code.or.Value","SPXNFEV1.Value.Description","SPXNFEV1.Count","SPXNFEV1.Cumulative","SPXNFEV1.Skip.to.Item"
"648 to 6474","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
