"URDP01LC.Code.or.Value","URDP01LC.Value.Description","URDP01LC.Count","URDP01LC.Cumulative","URDP01LC.Skip.to.Item"
"0","At or above the detection limit",2747,2747,NA
"1","Below lower detection limit",0,2747,NA
".","Missing",72,2819,NA
