"SMD650.Code.or.Value","SMD650.Value.Description","SMD650.Count","SMD650.Cumulative","SMD650.Skip.to.Item"
"2 to 90","Range of Values",1284,1284,NA
"1","1 cigarette or less",174,1458,NA
"95","95 cigarettes or more",11,1469,NA
"777","Refused",1,1470,NA
"999","Don't know",3,1473,NA
".","Missing",5672,7145,NA
