"URXHP2.Code.or.Value","URXHP2.Value.Description","URXHP2.Count","URXHP2.Cumulative","URXHP2.Skip.to.Item"
"3.75 to 9360","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
