"DR2ILYCO.Code.or.Value","DR2ILYCO.Value.Description","DR2ILYCO.Count","DR2ILYCO.Cumulative","DR2ILYCO.Skip.to.Item"
"0 to 104091","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
