"OSD030bh.Code.or.Value","OSD030bh.Value.Description","OSD030bh.Count","OSD030bh.Cumulative","OSD030bh.Skip.to.Item"
"17","17",1,1,NA
"85","85 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",4879,4880,NA
