"DUQ213.Code.or.Value","DUQ213.Value.Description","DUQ213.Count","DUQ213.Cumulative","DUQ213.Skip.to.Item"
"8 to 45","Range of Values",952,952,NA
"777","Refused",1,953,NA
"999","Don't know",0,953,NA
".","Missing",4104,5057,NA
