"BPQ090B.Code.or.Value","BPQ090B.Value.Description","BPQ090B.Count","BPQ090B.Cumulative","BPQ090B.Skip.to.Item"
"1","Yes",826,826,NA
"2","No",679,1505,NA
"7","Refused",0,1505,NA
"9","Don't know",5,1510,NA
".","Missing",4703,6213,NA
