"OSQ200.Code.or.Value","OSQ200.Value.Description","OSQ200.Count","OSQ200.Cumulative","OSQ200.Skip.to.Item"
"1","Yes",119,119,NA
"2","No",5476,5595,NA
"7","Refused",2,5597,NA
"9","Don't know",338,5935,NA
".","Missing",0,5935,NA
