"AUXRR153.Code.or.Value","AUXRR153.Value.Description","AUXRR153.Count","AUXRR153.Cumulative","AUXRR153.Skip.to.Item"
"-4 to 69","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
