"DR2IPFAT.Code.or.Value","DR2IPFAT.Value.Description","DR2IPFAT.Count","DR2IPFAT.Cumulative","DR2IPFAT.Skip.to.Item"
"0 to 90.931","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
