"DS1IIODI.Code.or.Value","DS1IIODI.Value.Description","DS1IIODI.Count","DS1IIODI.Cumulative","DS1IIODI.Skip.to.Item"
"3.75 to 12500","Range of Values",1182,1182,NA
".","Missing",4512,5694,NA
