"MPQ120V.Code.or.Value","MPQ120V.Value.Description","MPQ120V.Count","MPQ120V.Cumulative","MPQ120V.Skip.to.Item"
"31","Lower leg - left",120,120,NA
".","Missing",4921,5041,NA
