"WHQ560.Code.or.Value","WHQ560.Value.Description","WHQ560.Count","WHQ560.Cumulative","WHQ560.Skip.to.Item"
"1","never,",439,439,NA
"2","sometimes, or",234,673,NA
"3","a lot?",41,714,NA
"7","Refused",0,714,NA
"9","Don't know",0,714,NA
".","Missing",754,1468,NA
