"DBD100.Code.or.Value","DBD100.Value.Description","DBD100.Count","DBD100.Cumulative","DBD100.Skip.to.Item"
"1","Rarely",2543,2543,NA
"2","Occasionally",1625,4168,NA
"3","Very often",1164,5332,NA
"7","Refused",0,5332,NA
"9","Don't know",2,5334,NA
".","Missing",4428,9762,NA
