"WHQ520.Code.or.Value","WHQ520.Value.Description","WHQ520.Count","WHQ520.Cumulative","WHQ520.Skip.to.Item"
"1","Never",578,578,NA
"2","Sometimes",666,1244,NA
"3","A lot",178,1422,NA
"7","Refused",0,1422,NA
"9","Don't know",2,1424,NA
".","Missing",102,1526,NA
