"SMQ848.Code.or.Value","SMQ848.Value.Description","SMQ848.Count","SMQ848.Cumulative","SMQ848.Skip.to.Item"
"1 to 20","Range of Values",578,578,NA
"777","Refused",0,578,NA
"999","Don't know",5,583,NA
".","Missing",6585,7168,NA
