"WBXA001.Code.or.Value","WBXA001.Value.Description","WBXA001.Count","WBXA001.Cumulative","WBXA001.Skip.to.Item"
"-2.6894 to 0.957","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
