"OHAEXSTS.Code.or.Value","OHAEXSTS.Value.Description","OHAEXSTS.Count","OHAEXSTS.Cumulative","OHAEXSTS.Skip.to.Item"
"1","Completed",7853,7853,NA
"2","Partial",1157,9010,NA
"3","Not Done",588,9598,NA
".","Missing",0,9598,NA
