"PFQ055.Code.or.Value","PFQ055.Value.Description","PFQ055.Count","PFQ055.Cumulative","PFQ055.Skip.to.Item"
"1","Yes",234,234,NA
"2","No",361,595,NA
"7","Refused",0,595,NA
"9","Don't know",1,596,NA
".","Missing",8897,9493,NA
