"CVAVEST.Code.or.Value","CVAVEST.Value.Description","CVAVEST.Count","CVAVEST.Cumulative","CVAVEST.Skip.to.Item"
"1","Yes",58,58,NA
"2","No",1741,1799,NA
"7","Refused",0,1799,NA
".","Missing",3353,5152,NA
