"DR2ICRYP.Code.or.Value","DR2ICRYP.Value.Description","DR2ICRYP.Count","DR2ICRYP.Cumulative","DR2ICRYP.Skip.to.Item"
"0 to 12155","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
