"OPX1OSBS.Code.or.Value","OPX1OSBS.Value.Description","OPX1OSBS.Count","OPX1OSBS.Cumulative","OPX1OSBS.Skip.to.Item"
"0","Test not performed",35,35,NA
"1","0/3",2719,2754,NA
"2","1/3",450,3204,NA
"3","2/3",113,3317,NA
"4","3/3",35,3352,NA
".","Missing",511,3863,NA
