"BPQ080.Code.or.Value","BPQ080.Value.Description","BPQ080.Count","BPQ080.Cumulative","BPQ080.Skip.to.Item"
"1","Yes",2037,2037,"BPQ070"
"2","No",4391,6428,""
"7","Refused",0,6428,""
"9","Don't know",36,6464,""
".","Missing",0,6464,""
