"AUDTYR52.Code.or.Value","AUDTYR52.Value.Description","AUDTYR52.Count","AUDTYR52.Cumulative","AUDTYR52.Skip.to.Item"
"0 to 5.22","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
