"URDSMMLC.Code.or.Value","URDSMMLC.Value.Description","URDSMMLC.Count","URDSMMLC.Cumulative","URDSMMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2067,2067,NA
".","Missing",545,2612,NA
