"AUDTYR70.Code.or.Value","AUDTYR70.Value.Description","AUDTYR70.Count","AUDTYR70.Cumulative","AUDTYR70.Skip.to.Item"
"0 to 1.19","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
