"DR2TFA.Code.or.Value","DR2TFA.Value.Description","DR2TFA.Count","DR2TFA.Cumulative","DR2TFA.Skip.to.Item"
"0 to 2632","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
