"DXXANIDX.Code.or.Value","DXXANIDX.Value.Description","DXXANIDX.Count","DXXANIDX.Cumulative","DXXANIDX.Skip.to.Item"
"8","8",3295,3295,NA
".","Missing",413,3708,NA
