"RHD280.Code.or.Value","RHD280.Value.Description","RHD280.Count","RHD280.Cumulative","RHD280.Skip.to.Item"
"1","Yes",669,669,""
"2","No",1974,2643,"RHQ305"
"7","Refused",0,2643,"RHQ305"
"9","Don't know",5,2648,"RHQ305"
".","Missing",836,3484,""
