"DR2CCMNM.Code.or.Value","DR2CCMNM.Value.Description","DR2CCMNM.Count","DR2CCMNM.Cumulative","DR2CCMNM.Skip.to.Item"
"0 to 11","Range of Values",93500,93500,NA
".","Missing",0,93500,NA
