"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",5419,5419,NA
"2","Spanish",291,5710,NA
"3","English and Spanish",26,5736,NA
"4","Other",0,5736,NA
"5","Asian Languages",40,5776,NA
"6","Asian Languages and English",0,5776,NA
".","Missing",0,5776,NA
